LRU Cache:
18E8: hit=true
18EC: hit=true
18F0: hit=true
18F4: hit=true
18F8: hit=true
18FC: hit=true
1900: hit=false
1904: hit=true
1908: hit=true
190C: hit=true
1910: hit=true
1914: hit=true
1918: hit=true
191C: hit=true
1920: hit=true
1924: hit=true
1928: hit=true
192C: hit=true
1930: hit=true
1934: hit=true
1938: hit=true
193C: hit=true
1940: hit=false
1944: hit=true
1948: hit=true
194C: hit=true
1950: hit=true
1954: hit=true
1958: hit=true
195C: hit=true
1960: hit=true
1964: hit=true
1968: hit=true
196C: hit=true
1970: hit=true
1974: hit=true
1978: hit=true
197C: hit=true
1980: hit=false
1984: hit=true
1988: hit=true
198C: hit=true
1990: hit=true
1994: hit=true
1998: hit=true
199C: hit=true
19A0: hit=true
19A4: hit=true
19A8: hit=true
19AC: hit=true
19B0: hit=true
19B4: hit=true
19B8: hit=true
19BC: hit=true
19C0: hit=false
19C4: hit=true
19C8: hit=true
19CC: hit=true
19D0: hit=true
19D4: hit=true
19D8: hit=true
19DC: hit=true
19E0: hit=true
19E4: hit=true
19E8: hit=true
19EC: hit=true
19F0: hit=true
19F4: hit=true
19F8: hit=true
19FC: hit=true
1A00: hit=false
1A04: hit=true
1A08: hit=true
1A0C: hit=true
1A10: hit=true
1A14: hit=true
1A18: hit=true
1A1C: hit=true
1A20: hit=true
1A24: hit=true
1A28: hit=true
1A2C: hit=true
1A30: hit=true
1A34: hit=true
1A38: hit=true
1A3C: hit=true
1A40: hit=false
1A44: hit=true
1A48: hit=true
1A4C: hit=true
1A50: hit=true
1A54: hit=true
1A58: hit=true
1A5C: hit=true
1A60: hit=true
